Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple,Soil_Series,A_Horizon,Grade,Type,Top_Type,Comments
47,CLS5CLP9L2,Urban Observed,Subsurface,,18,34,16,,^A2u,A,Hornell,A1,16,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,30,"brick, slag",,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,A,Hornell,A1,weak,medium granular structure,,
48,CLS5CLP9L3,Urban Observed,Subsurface,,34,48,14,,^C1u,C,Hornell,,,,No,Yes,**R,**crushed brick,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Hornell,,moderate,thin and medium plate-like structure,,
49,CLS5CLP9L4,Urban Observed,Subsurface,,48,60,12,,^C2u,C,Hornell,,,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,50,"wood, brick, slag",,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Hornell,,moderate,thin and medium plate-like structure,,
50,CLS5CLP9L5,Urban Observed,Subsurface,,60,66,6,,^C3u,C,Hornell,,,,No,Yes,**R,**crushed asphalt,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,C,Hornell,,moderate,thin and medium plate-like structure,,
51,CLS5CLP9L6,Urban Observed,Subsurface,,68,78,10,,^C4,C,Hornell,,,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,10,,,,Yes,N 8/,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Hornell,,moderate,thin and medium plate-like structure,,
52,CLS5CLP9L7,Urban Observed,Subsurface,,78,128,50,,2C5,C,Hornell,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,10,,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Hornell,,moderate,thin and medium plate-like structure,,
53,CLS5CLP9L8,Urban Observed,Subsurface,,128,142,14,,2Cg1,C,Hornell,,,,No,No,scl,sandy clay loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,0,C,Hornell,,moderate,thin and medium plate-like structure,,
54,CLS5CLP9L9,Urban Observed,Subsurface,HR 1,142,182,40,142,2Cg2,C,Hornell,,,,No,No,l,loam,34.61,0.351014199,44.98,0.461806982,20.41,0.216436903,,,0,organic materials,,,Yes,75YR 6/8,,,,,NA,,,NA,,NA,0.67,,0.67,loam,1.992,0.069,0.3991,0.0111,1.4737,100,C,Hornell,,moderate,thin and medium plate-like structure,,
55,CLS5CLP9L10,Urban Observed,Subsurface,,182,215,33,,2Cg2,C,Hornell,,,,No,No,scl,sandy clay loam,,NA,,NA,,NA,,,40,shale fragments; rounded gravels,,,No,,,,,,NA,,,NA,,NA,,,,sandyClayLoam,8.252,0.0633,0.3837,0.0211,1.3298,0,C,Hornell,,moderate,thin and medium plate-like structure,,
56,CLS5CLP10L1,Urban Observed,Surface,Surface,0,22,22,,^A1u,A,Hornell,A1,22,Anthropogenic over Residual,No,Yes,sl,sandy loam,64.18,0.650912779,25.24,0.259137577,10.58,0.112195122,,,40,brick,,,No,,,,,,NA,,,NA,,NA,1.8,1.8,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Hornell,A1,weak,medium granular structure,,
57,CLS5CLP10L2,Urban Observed,Subsurface,,22,28,6,,^A2u,A,Hornell,A1,6,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,70,slag,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,A,Hornell,A1,weak,medium granular structure,,
